"","District.Name","Village.Name","Total.Geographical.Area.(in.Hectares)","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Community.Health.Centre.(Numbers)","Total.Positions.(Doctors.&.Support)","Total.Required.Strength.(Doctors.&.Support)","Distance","Primary.Health.Centre.(Numbers)","Primary.Health.Centre.Doctors.Total.Strength.(Numbers)","Primary.Health.Centre.Doctors.In.Position.(Numbers)","Distance.1","Primary.Heallth.Sub.Centre.(Numbers)","Primary.Heallth.Sub.Centre.Doctors.Total.Strength.(Numbers)","Primary.Heallth.Sub.Centre.Doctors.In.Position.(Numbers)","Distance.2","Maternity.And.Child.Welfare.Centre.(Numbers)","Maternity.And.Child.Welfare.Centre.Doctors.Total.Strength.(Numbers)","Maternity.And.Child.Welfare.Centre.Doctors.In.Position.(Numbers)","Distance.3","TB.Clinic.(Numbers)","TB.Clinic.Doctors.Total.Strength.(Numbers)","TB.Clinic.Doctors.In.Position.(Numbers)","Distance.4","Hospital.Allopathic.(Numbers)","Hospital.Allopathic.Doctors.Total.Strength.(Numbers)","Hospital.Allopathic.Doctors.In.Position.(Numbers)","Distance.5","Hospiltal.Alternative.Medicine.(Numbers)","Hospiltal.Alternative.Medicine.Doctors.Total.Strength.(Numbers)","Hospiltal.Alternative.Medicine.Doctors.In.Position.(Numbers)","Distance.6","Dispensary.(Numbers)","Dispensary.Doctors.Total.Strength.(Numbers)","Dispensary.Doctors.In.Position.(Numbers)","Distance.7","Veterinary.Hospital.(Numbers)","Veterinary.Hospital.Doctors.Total.Strength.(Numbers)","Veterinary.Hospital.Doctors.In.Position.(Numbers)","Distance.8","Mobile.Health.Clinic.(Numbers)","Mobile.Health.Clinic.Doctors.Total.Strength.(Numbers)","Mobile.Health.Clinic.Doctors.In.Position.(Numbers)","Distance.9","Family.Welfare.Centre.(Numbers)","Family.Welfare.Centre.Doctors.Total.Strength.(Numbers)","Family.Welfare.Centre.Doctors.In.Position.(Numbers)","Distance.10","Clusters"
"103","Panchkula","Bilaspur (378)",119,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,1
"104","Panchkula","Judian (Part) (379)",93,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,1
"107","Panchkula","Jhiwriwala (230)",61,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,1
"109","Panchkula","Nadian (227)",638,25,134,72,62,0,0,0,5,0,0,0,5,0,0,0,10,0,0,0,10,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,3
"110","Panchkula","Koiwali (228)",656,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,1
"112","Panchkula","Shimlipur (236)",197,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,1
"113","Panchkula","Asrewali (226)",953,93,597,310,287,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,1,2,2,12.5,0,0,0,5,0,0,0,5,4
"115","Panchkula","Lana (235)",34,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,0,0,0,15,1
"117","Panchkula","Jaswantgarh (239)",250,108,618,329,289,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,1,3,3,12.5,0,0,0,5,0,0,0,5,4
"121","Panchkula","Kanauli (223)",184,102,505,270,235,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,10,3
"124","Panchkula","Bir Ferozari (364)",291,2,10,4,6,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,5,3
"126","Panchkula","Bir Babupur (365)",212,55,221,130,91,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,10,0,0,0,10,3
"129","Panchkula","Kami (243)",225,182,972,532,440,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,4
"130","Panchkula","Palasra (242)",63,143,533,296,237,0,0,0,0,0,0,0,10,1,2,1,12.5,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,4
"131","Panchkula","Raipur Alias Sunderpur(244)",91,171,845,454,391,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,4
"132","Panchkula","Jitpur (245)",195,69,335,237,98,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,1
"135","Panchkula","Sangrana (251)",163,24,175,100,75,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,1
"136","Panchkula","Fatehpur Viran (250)",106,10,56,31,25,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,1
"142","Panchkula","Batwal (5)",141,118,630,326,304,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,3
"143","Panchkula","Sukh Darshanpur (2)",274,163,922,478,444,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,4
"144","Panchkula","Toka (1)",125,142,795,423,372,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,4
