"","District.Name","Village.Name","Total.Geographical.Area..in.Hectares.","Total.Households","Total.Population.of.Village","Total.Male.Population.of.Village","Total.Female.Population.of.Village","Community.Health.Centre..Numbers.","Total.Positions..Doctors...Support.","Total.Required.Strength..Doctors...Support.","Distance","Primary.Health.Centre..Numbers.","Primary.Health.Centre.Doctors.Total.Strength..Numbers.","Primary.Health.Centre.Doctors.In.Position..Numbers.","Distance.1","Primary.Heallth.Sub.Centre..Numbers.","Primary.Heallth.Sub.Centre.Doctors.Total.Strength..Numbers.","Primary.Heallth.Sub.Centre.Doctors.In.Position..Numbers.","Distance.2","Maternity.And.Child.Welfare.Centre..Numbers.","Maternity.And.Child.Welfare.Centre.Doctors.Total.Strength..Numbers.","Maternity.And.Child.Welfare.Centre.Doctors.In.Position..Numbers.","Distance.3","TB.Clinic..Numbers.","TB.Clinic.Doctors.Total.Strength..Numbers.","TB.Clinic.Doctors.In.Position..Numbers.","Distance.4","Hospital.Allopathic..Numbers.","Hospital.Allopathic.Doctors.Total.Strength..Numbers.","Hospital.Allopathic.Doctors.In.Position..Numbers.","Distance.5","Hospiltal.Alternative.Medicine..Numbers.","Hospiltal.Alternative.Medicine.Doctors.Total.Strength..Numbers.","Hospiltal.Alternative.Medicine.Doctors.In.Position..Numbers.","Distance.6","Dispensary..Numbers.","Dispensary.Doctors.Total.Strength..Numbers.","Dispensary.Doctors.In.Position..Numbers.","Distance.7","Veterinary.Hospital..Numbers.","Veterinary.Hospital.Doctors.Total.Strength..Numbers.","Veterinary.Hospital.Doctors.In.Position..Numbers.","Distance.8","Mobile.Health.Clinic..Numbers.","Mobile.Health.Clinic.Doctors.Total.Strength..Numbers.","Mobile.Health.Clinic.Doctors.In.Position..Numbers.","Distance.9","Family.Welfare.Centre..Numbers.","Family.Welfare.Centre.Doctors.Total.Strength..Numbers.","Family.Welfare.Centre.Doctors.In.Position..Numbers.","Distance.10","Clusters"
"719","Sonipat","Mandaura    (225)",639,685,3702,1964,1738,0,0,0,0,0,0,0,10,1,2,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,12.5,1,3,3,12.5,0,0,0,0,0,0,0,0,4
"720","Sonipat","Thana Kalan     (220)",1053,809,4463,2451,2012,0,0,0,10,0,0,0,10,1,2,2,12.5,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,1,3,2,12.5,0,0,0,10,0,0,0,10,4
"721","Sonipat","Thana Khurd    (221)",557,567,2886,1558,1328,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,1
"722","Sonipat","Khanda        (9R)",1590,1685,9029,4897,4132,0,0,0,0,0,0,0,5,1,2,2,12.5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,3,12.5,0,0,0,0,0,0,0,0,4
"723","Sonipat","Sehri        ( 7R)",692,491,2819,1508,1311,0,0,0,0,0,0,0,0,1,2,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,12.5,0,0,0,10,0,0,0,10,0,0,0,0,1
"724","Sonipat","Bidhlan          ( 6R)",1020,726,3584,1936,1648,0,0,0,0,1,9,7,12.5,1,2,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"725","Sonipat","Ridhad            (4R)",640,692,3624,1956,1668,0,0,0,0,0,0,0,10,1,2,2,12.5,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1
"726","Sonipat","Farmana  (2R)",894,1336,7019,3708,3311,0,0,0,0,1,11,10,12.5,1,2,2,12.5,1,2,2,12.5,1,1,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,12.5,0,0,0,0,0,0,0,0,3
"727","Sonipat","Nizampur Majra  ( 1R)",588,594,3100,1681,1419,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1
"728","Sonipat","Gorar            ( 52R)",1390,938,5077,2822,2255,0,0,0,5,0,0,0,5,1,2,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,12.5,0,0,0,0,0,0,0,0,4
"729","Sonipat","Silana            (5R)",1282,985,5173,2831,2342,0,0,0,5,0,0,0,5,1,2,2,12.5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,12.5,0,0,0,5,0,0,0,5,4
"730","Sonipat","Sisana         ( 26R)",2086,2022,10169,5494,4675,0,0,0,5,1,6,4,12.5,1,4,4,12.5,1,2,2,12.5,1,1,1,12.5,0,0,0,0,0,0,0,0,0,0,0,5,1,3,2,12.5,0,0,0,5,0,0,0,5,3
"731","Sonipat","Ashrafpur Matindu (25R)",538,519,2708,1464,1244,0,0,0,5,0,0,0,5,1,2,2,12.5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,1,3,2,12.5,0,0,0,5,0,0,0,5,4
"732","Sonipat","Garhi Sisana    (27R)",974,734,3928,2111,1817,0,0,0,5,0,0,0,5,1,2,2,12.5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,10,0,0,0,5,0,0,0,5,1
"733","Sonipat","Rohna  (23)",1125,1289,6611,3548,3063,0,0,0,10,0,0,0,10,1,2,2,12.5,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,1,3,3,12.5,0,0,0,10,0,0,0,10,4
"734","Sonipat","Pipli  (12R)",663,731,3776,2038,1738,0,0,0,10,0,0,0,10,1,2,2,12.5,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,1
"735","Sonipat","Gopalpur (13R)",705,633,3480,1900,1580,0,0,0,10,0,0,0,10,1,2,2,12.5,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,10,1
"736","Sonipat","Rampur  (240)",381,623,2879,1578,1301,0,0,0,5,0,0,0,5,1,2,2,12.5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,5,0,0,0,5,1
"737","Sonipat","Ferozepur Bangar (237)",402,617,3047,1639,1408,1,20,22,12.5,1,14,12,12.5,1,2,2,12.5,1,2,2,12.5,1,1,1,12.5,0,0,0,0,0,0,0,0,0,0,0,5,1,3,2,12.5,0,0,0,10,0,0,0,5,3
"738","Sonipat","Saidpur (239)",449,712,3580,1979,1601,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,1,3,2,12.5,0,0,0,5,0,0,0,5,4
"739","Sonipat","Sahoti (14R)",602,608,3221,1709,1512,0,0,0,5,0,0,0,5,1,2,2,12.5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,1,3,3,12.5,0,0,0,5,0,0,0,5,4
"740","Sonipat","Pahladpur  (15R)",612,537,2895,1588,1307,0,0,0,5,0,0,0,5,1,2,2,12.5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,5,1
"741","Sonipat","Barona  (22R)",810,892,4595,2495,2100,0,0,0,0,0,0,0,0,1,2,2,12.5,1,4,4,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,3,3,12.5,0,0,0,10,0,0,0,10,4
"742","Jind","Kalwan (61)",3456,1611,9473,4954,4519,0,0,0,0,0,0,0,0,1,2,2,12.5,1,2,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,12.5,0,0,0,0,0,0,0,0,4
"743","Jind","Dhamtan Sahib (60)",3609,2307,12750,6785,5965,0,0,0,0,1,6,6,12.5,1,2,2,12.5,1,2,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,12.5,0,0,0,0,0,0,0,0,3
"744","Jind","Rasidan (56)",985,564,2959,1597,1362,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"745","Jind","Dhabi Teksingh (55)",733,599,3259,1709,1550,0,0,0,0,0,0,0,5,1,2,2,12.5,1,2,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,12.5,0,0,0,0,0,0,0,0,4
"746","Jind","Pipaltha (53)",1772,1011,5390,2811,2579,0,0,0,0,0,0,0,0,1,1,1,12.5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,12.5,0,0,0,0,0,0,0,0,4
"747","Jind","Barta (7)",1111,926,5180,2730,2450,0,0,0,0,0,0,0,5,1,2,2,12.5,1,2,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,12.5,0,0,0,0,0,0,0,0,4
"748","Jind","Dhanauri (6)",3082,2086,11929,6260,5669,0,0,0,0,1,12,11,12.5,1,2,2,12.5,1,2,2,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,12.5,0,0,0,0,0,0,0,0,3
"749","Jind","Koel (48)",777,611,3343,1786,1557,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,12.5,0,0,0,0,0,0,0,0,4
"750","Jind","Ujhana (50)",3373,2047,11696,6193,5503,0,0,0,0,1,7,7,12.5,1,2,2,12.5,1,2,2,12.5,1,1,1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,12.5,0,0,0,0,0,0,0,0,3
