District.Name,Village.Name,Total.Population.of.Village,Total.Households,population_stratum,agriculture_index,education_index,health_index,infrastructure_index,irrigation_index,social_index,composite_index_equal,composite_index_sdg,composite_index_expert,composite_index_shap,composite_index_lasso,composite_index_ensemble
Panchkula,Bihla (237),3068,577,high,59.809946164510926,31.138274815778068,34.09021949008945,46.404761904761905,19.153310104529616,21.833333333333332,35.40497430216722,35.73874589508167,37.7114703269614,33.98579967795767,35.39634139083958,35.64746631860151
Panchkula,Bhanoo (234),2992,395,high,42.193981051458294,11.773732119635891,5.150628521889901,45.60476190476191,24.925373134328357,20.366666666666667,25.002523899790173,22.587687634648603,26.949604938340066,18.45004363737214,25.020712104145687,23.60211444285934
Panchkula,Kot (238),3876,683,high,54.689925028049934,36.57910706545297,65.058813098475,45.238095238095234,39.59036144578313,37.0,46.359383645976045,48.208281944498594,47.32195585647259,50.34706816218669,46.35553624774029,47.718445171374846
Panchkula,Barwala (246),8307,1569,high,54.892537590701515,57.822930212397054,48.33248610946921,55.404761904761905,53.48110831234257,66.0,55.988970688278705,54.81446874101761,55.25338279413812,54.18285454507449,55.99339879014399,55.24661511173058
Panchkula,Bhareli (249),3843,741,high,57.910690371290485,28.632856523623758,51.670902785987316,43.03809523809523,65.22182254196642,23.3,44.9623945768272,45.8998882239244,48.353315283371856,46.240916185097674,44.9769671996976,46.086696293783746
Panchkula,Bataur (247),4946,926,high,49.5562844245944,32.111400086692676,38.04498167632108,45.63809523809523,54.70410367170626,37.4,42.909144182901606,42.158297936578194,44.439063390656194,41.25370871205539,42.92520241473577,42.737083327385434
Panchkula,Khatauli (3),3552,604,high,59.65041938457548,48.72475075856091,59.26025534933208,45.63809523809523,55.38380281690141,28.5,49.52622059124419,51.510861604981024,51.882830611422385,52.161748657331536,49.51715948167035,50.9197641893299
Panchkula,Rattewali (222),2812,504,high,58.0562579852673,38.06371911573472,60.081175867911895,51.838095238095235,56.0,35.4,49.90654136783485,51.057190773629294,51.751513029578106,51.80983470037752,49.911371644640305,50.887290303212005
Panchkula,Bhoj Mataur (317),3234,622,high,58.56136972356624,30.643042912873867,28.320822004177007,46.238095238095234,14.695652173913043,21.966666666666665,33.404274786548676,33.32974832062187,35.55643355561275,31.00172799615879,33.395229069785834,33.33748274574559
Panchkula,Bhoj Nagal (326),3325,634,high,48.721428381867334,24.60078023407022,32.87652204752335,44.238095238095234,8.675392670157066,37.0,32.6853697619522,32.08452400221283,32.87274525745157,31.265762275633197,32.6843911537283,32.31855849019562
Panchkula,Bhoj Rajpura (313),2659,458,high,47.70241669208582,17.912657130472475,5.150628521889901,44.00476190476191,2.203252032520325,24.499999999999996,23.578952713621735,21.40675315097218,24.876461713094162,17.34027019610408,23.5817700700549,22.156841568769412
Panchkula,Garhi (245),3885,752,high,57.05128513862801,44.12136974425662,30.64960397210072,40.51904761904762,32.455635491606714,22.366666666666664,37.86060143871773,38.22723684593552,40.28411824995575,36.157969806474576,37.84779215404146,38.075543699025005
Panchkula,Mauli (16),4404,817,high,54.02579107065453,44.59016038144777,48.193442881349256,49.00476190476191,41.46712802768166,35.4,45.44688071098252,46.18104494709158,46.608128148333805,45.81870349966168,45.440361731994834,45.899023807612885
Ambala,Fatehgarh (31),2820,548,high,59.777621174551115,41.065452969224104,50.308251566379006,41.91904761904762,64.0,22.9,46.66172888820031,47.93465380447938,50.028318116835386,47.82035047250458,46.66419589209177,47.82184943482228
Ambala,Jatwar (41),4230,787,high,69.17852272057924,46.514087559601215,39.237597036686765,59.69047619047619,63.4553376906318,39.0,52.846003532995866,51.86086726134502,55.70202233628579,49.04685457765051,52.856413068770735,52.46243215540958
Ambala,Bharog (46),2868,551,high,60.24509526771075,40.821629822280016,56.12473893683256,45.238095238095234,61.77070063694268,24.499999999999996,48.116709983643545,49.733594370076446,51.1930835438974,50.09745616577319,48.11747514485085,49.45166384164828
Ambala,Dhanana (36),4052,711,high,64.07425267093807,32.67793671434764,42.24914292469559,47.31904761904762,55.26559714795009,25.433333333333334,44.503218401718726,44.64004102306713,47.9519350193715,43.39371085592055,44.51319692249165,45.000420444513914
Ambala,Korwa Khurd (52),2957,614,high,67.69231220629727,46.51192024273949,63.91072624817749,49.60476190476191,56.0,39.0,53.786620100329365,55.174626727251145,56.027189310926154,56.11645714269802,53.785532331100626,54.97808512246106
Ambala,Patrehri (103),5645,1038,high,62.35510944216959,28.245773732119638,52.94800873417106,43.51904761904762,58.48966613672496,37.93333333333334,47.2484898329277,47.334063742991354,49.786968434021475,48.0403868825821,47.267987732339606,47.93557932497245
Ambala,Shahzadpur (58),7278,1356,high,62.00156244592009,44.11486779367144,51.039509306047776,64.69047619047619,70.50234741784038,64.0,59.39146052565931,57.56200879338173,59.977588088577406,56.517391896170594,59.417459732161156,58.57318180719003
Ambala,Kohra Bhura (78),2757,521,high,67.1395485897231,59.068920676202865,5.150628521889901,44.31904761904762,50.60402684563758,57.5,47.29702870875018,43.16083472387429,48.93648203912935,37.74246659549337,47.307987414814505,44.88895989641234
Ambala,Dera (190),7872,1570,high,61.36434825049058,18.047680970957956,27.794164006777788,48.2047619047619,55.79728317659352,22.366666666666664,38.929150829374734,37.5997028623296,42.84420139698266,34.98402546463168,38.95548955937172,38.66251402253808
Ambala,Panjlasa (Part)(96),3203,654,high,64.95974804001895,20.146944083224966,5.150628521889901,35.752380952380946,52.0,18.23333333333333,32.70717248847468,30.047198629310788,37.62076337696244,25.491632178053173,32.73404475249487,31.72016228505919
Ambala,Kurali (120),4222,770,high,65.81191285636812,18.109666233203292,53.26274776372306,40.91904761904762,56.0,24.499999999999996,43.10056241205702,43.797264258883786,46.94669745648813,44.627484247217055,43.12131068107937,44.31866381114507
Ambala,Gadauli (135),4949,888,high,74.97926844269497,30.09882964889467,40.510304606533474,41.95238095238095,56.59498207885304,24.499999999999996,44.772627621559515,44.626336802501655,49.398040807615715,43.29368655409936,44.78718013051358,45.37557438325797
Ambala,Badhauli (110),4442,747,high,73.98865592122928,36.28088426527958,47.97996217046932,48.238095238095234,59.126705653021446,33.8,49.90238387468248,49.83418591752515,53.577346361988226,48.95408271383872,49.9153200867844,50.43666379096379
Ambala,Panjokhara (29),4885,969,high,66.9074816349353,39.5765062852189,57.256252187599245,51.60476190476191,62.8241308793456,24.9,50.511522148643486,51.91982046680001,54.04732464123995,51.77388828786129,50.51488385734144,51.753487880377236
Ambala,Kalarheri (28),4472,931,high,55.16861683263199,21.97052449068054,5.150628521889901,51.60476190476191,62.644578313253014,22.366666666666664,36.48429612164734,33.331122252872284,40.36662377507512,27.829177129372738,36.51640298272663,34.90552445233882
Ambala,Dhulkot (Part)(60),2812,568,high,30.80656059562967,12.093411356740356,5.150628521889901,39.238095238095234,64.0,20.23333333333333,28.58700484094808,25.836371110212617,30.997293749749574,22.184784928397804,28.624763589849472,27.246043643831506
Ambala,Balana (173),4151,779,high,66.17430645860425,38.30212397052449,30.037336958663357,45.52380952380952,67.69096509240246,37.4,47.521423667334005,45.818121194993175,50.90126020108116,43.22442814446889,47.543240165382244,47.0016946746519
Ambala,Anandpur Jalbera (121),3032,585,high,66.736025862191,36.90962288686606,57.898687788154625,44.63809523809523,61.992498731286474,43.199999999999996,51.895821751098886,52.181589499147776,54.319467098772435,53.114029456214034,51.91105039247833,52.684391639542284
Ambala,Machhonda (105),5123,1054,high,54.708674570456246,15.959687906371911,44.63037396067305,44.63809523809523,59.809160305343504,22.366666666666664,40.3521097746011,40.459587255193554,43.659890936120455,40.30503074492014,40.37688187058174,41.0307001162834
Ambala,Shahpur (125),5213,1038,high,58.20324710590648,43.414824447334205,44.158982543247824,55.89047619047619,59.46483180428134,34.86666666666667,49.333171459652114,49.243160457045065,51.45008728115829,47.639820108765846,49.33916220272761,49.40108030186978
Ambala,Khojkipur( Part) (101),6235,1341,high,38.37227139015491,10.354139575205895,5.150628521889901,44.07142857142857,65.5,22.366666666666664,30.96918912089099,27.78670670641784,33.86616401448405,23.62816898818906,31.011645522890532,29.4523748705745
Ambala,Rampur (Part)(100),2823,611,high,39.15048138294699,9.05071521456437,5.150628521889901,51.60476190476191,56.29629629629629,32.73333333333333,32.33103610896546,28.42886444431946,34.19112878451177,24.01554633797117,32.37553031023295,30.268421197200162
Ambala,Salarheri (128),3646,757,high,56.970019838068204,36.63025574338969,5.150628521889901,44.43809523809524,61.385620915032675,22.366666666666664,37.823547820523736,35.2694353444965,41.689142734696475,29.87899136219398,37.84117297142499,36.500458046667134
Ambala,Dukheri (161),4231,733,high,69.54751868910427,32.01690507152146,39.21809118493124,46.404761904761905,60.0,24.499999999999996,45.28121280838647,45.05074589961703,49.482843396458264,43.31453450191214,45.29550469926775,45.68496826112833
Ambala,Begampur (107),4622,1031,high,44.87194899477038,10.549198092761163,5.150628521889901,31.471428571428568,56.0,17.166666666666664,27.53497847458611,24.965670050621213,31.210342193271206,21.520975802243456,27.569914000114977,26.560376104167393
Ambala,Bhano Kheri (180),2710,517,high,74.13912400291855,9.05071521456437,61.09222918390668,47.404761904761905,85.0,37.0,52.28113838435858,51.76478322504162,56.86693694621459,53.05322705625945,52.332248931415656,53.259666908657984
Ambala,Nanyola (292),4184,829,high,61.73353887886796,56.616818378846986,56.11748827678607,46.11904761904762,53.63834567432441,47.33333333333333,53.59309536020106,54.30970890413525,54.72239032911731,54.71122594241274,53.58708637258168,54.18470138168961
Ambala,Chhapra (321),2634,487,high,68.82661891590733,47.61725184221934,36.70725460062261,45.03809523809523,63.32553606237817,34.86666666666667,49.39690388764822,48.765468217723296,52.762818860259706,46.64846368001365,49.404476400707026,49.39562620927038
Ambala,Sonta (316),2792,533,high,66.78834845916253,32.9566536627655,61.3831422153919,51.29047619047619,58.257425742574256,24.499999999999996,49.19600771172839,50.83755384523303,52.643113073600524,51.4045519051737,49.20173394108712,50.65659209536455
Ambala,Jansui (308),2845,611,high,67.27532148533447,37.93368010403121,50.06117744414233,54.69047619047619,60.060658746257126,24.499999999999996,49.08688566170688,49.85599884515199,52.683762181382505,48.680355702672536,49.092220459163656,49.87984457001551
Ambala,Mohra (188),4264,883,high,63.59448840749786,45.9345470307759,48.96175670883083,51.2047619047619,59.32975871313673,45.73333333333333,52.45977434972277,52.120033270505694,54.25306702449044,51.44407761745176,52.4685483519301,52.54910012282015
Ambala,Pelakhni (21),4039,726,high,67.71145629403107,27.107065452969223,50.31632974740907,51.12380952380952,52.30271668822768,26.5,45.84356295107443,46.32119290335635,49.32048811978147,45.82074922246094,45.855992463072155,46.63239713194908
Ambala,Kesri (221),5055,923,high,67.8214086674982,52.47204161248375,35.99962564526934,56.857142857142854,71.5,57.666666666666664,57.05281424151014,54.687764129176905,58.8213403507756,51.931396125489,57.072959683764964,55.91325490614332
Ambala,Behta (158),7865,1500,high,63.820247425579026,44.537494581707854,37.350139890451985,51.60952380952381,75.5,43.00000000000001,52.636234284543775,51.18449957422,55.37963559864731,48.95555293886103,52.65711942063955,52.16260836338233
Ambala,Sambhalkha (130),5511,928,high,63.28116292030466,37.89683571738188,42.828249990148564,44.838095238095235,64.0,24.499999999999996,46.22405731098839,46.55431836477351,49.904767871920015,45.35777669768876,46.23306649550984,46.854797348176106
Ambala,Tepla (133),2803,536,high,60.36654622340901,52.07325530992632,60.20904756275368,48.2047619047619,64.0,34.46666666666667,53.22004627791961,54.79927583856599,55.411362939135195,55.31938176710706,53.215659688843424,54.393145302314245
Ambala,Samalheri (94),4115,762,high,65.54524402677174,32.40702210663199,60.57601371320488,41.752380952380946,67.5,23.43333333333333,48.53566568872048,50.18838492983386,52.43995685585894,51.330302038811915,48.546403104678106,50.20814252358066
Ambala,Gola (16),2560,478,high,66.75982168018551,31.403771131339404,5.150628521889901,37.43809523809524,69.71428571428572,23.43333333333333,38.983322603188185,35.99857508495866,44.07502012993554,30.93736846499793,39.01233248816558,37.80132375424918
Ambala,Sarda Heri (6),3184,565,high,62.222268195610205,30.919375812743823,46.79936556724593,50.804761904761904,58.85321100917431,32.833333333333336,47.072052637144914,46.949086054125544,49.88806807678349,46.20693190525723,47.08821991484196,47.44087171763063
Ambala,Dhanaura (80),3547,635,high,63.77561530153104,50.07390550498483,53.879398668085265,48.404761904761905,70.77272727272728,26.5,52.23440144201505,53.577596439871314,55.602159191603015,53.06383833283524,52.2335488690428,53.34230885507348
Ambala,Nahawani (92),3067,564,high,60.84633136896414,47.55136540962289,65.01448161721244,53.29047619047619,59.81785063752277,40.99999999999999,54.58675087063307,55.95709221577216,56.153601452342315,56.9388697206671,54.586680998394385,55.644599051561805
Ambala,Kalpi (136),2637,488,high,58.826604740865605,32.25964456003467,52.318437955629115,52.49047619047619,59.68944099378882,18.23333333333333,45.636322962354626,47.00585002301713,49.028156523228496,46.52525240009402,45.641628360368486,46.76744205381255
Ambala,Patti Bagheru (90),2994,557,high,52.7745855006502,47.89813610749892,29.588702368286242,59.29047619047619,59.58847736625515,42.099999999999994,48.540062922194444,46.93483367217858,49.83793904835278,43.56651517153354,48.54933457580205,47.48573707801228
Ambala,Mullana (139),4956,910,high,63.0888266479944,64.48677936714348,42.65511251615954,56.29047619047619,60.0,64.93333333333332,58.57575467585116,56.961362761572495,58.780395206398815,55.10453750232379,58.57956620520986,57.600323270271225
Ambala,Sohana (152),2865,512,high,69.66702746673059,49.501517121803204,49.80218307916618,47.92380952380952,55.341098169717135,33.8,51.00593922687111,51.67063946819077,53.94910295934291,50.83992714416116,51.00309747083921,51.693741253881036
Ambala,Sirsgarh (140),2924,562,high,57.430207785739974,11.871261378413525,5.150628521889901,43.60476190476191,59.392712550607285,36.86666666666667,35.71937313467988,31.412728408988222,39.01675889398292,27.051353197926073,35.76750558443161,33.79354384400174
Ambala,Dhin (143),5196,992,high,65.74419297041679,40.96358907672302,44.252177168302005,51.69047619047619,67.5,35.4,50.925072567653,50.53596248155405,54.01198460792938,49.04690495494173,50.939049528391614,51.09179482809396
Ambala,Tandwal (216),3229,557,high,63.969134342996504,54.81274382314695,56.32846672183473,48.2047619047619,70.66492693110646,38.46666666666667,55.40778339841887,56.31715558858447,57.87383150609862,56.23679428092702,55.40824868795375,56.248762692396554
Ambala,Subhri (232),3031,564,high,65.62548895453344,20.759211096662334,5.150628521889901,34.238095238095234,56.0,20.9,33.77890396853015,30.909036978699245,38.71856246713048,26.457024813112366,33.80893481410819,32.73449260831609
Ambala,Adhoya Musalmana (209),2913,570,high,61.62790732196828,40.6861725184222,59.091795720534336,47.49047619047619,71.5,34.86666666666667,52.54383640301128,53.48960762735136,55.283910161573644,54.14117316035117,52.55512850363081,53.602731171183656
Ambala,Thamber (208),6151,1022,high,67.18675428264672,23.940615517988732,40.18629073570556,49.52380952380952,60.0,35.93333333333333,46.12846723224731,44.9346136918259,49.43762927062058,43.60744151901641,46.15616867115028,46.0528640769721
Ambala,Adhoya Hindwan (235),3249,581,high,65.8061854320185,9.05071521456437,46.27487488670843,39.804761904761904,60.0,22.366666666666664,40.55053401745331,40.457170531773706,44.957765825576494,40.710267075808225,40.582945665325255,41.4517366231874
Ambala,Ugala (244),7307,1333,high,67.17847602697417,53.68357173818813,47.68754824308255,45.52380952380952,60.0,24.9,49.82890092200906,51.05394424102582,53.31885843250557,49.88821432994617,49.82001045979809,50.781985677056944
Yamunanagar,Jagdhauli (343),3342,617,high,65.85002943879907,38.95231902904205,5.150628521889901,45.838095238095235,60.0,26.5,40.38184537130437,37.48133963781503,44.60366377805384,31.763643378207846,40.39995361370933,38.92608915581808
Yamunanagar,Kalawar (351),5735,1041,high,67.03838793914598,60.651061985262245,41.80527643141427,55.404761904761905,60.0,39.0,53.98324804343073,53.84800398149219,56.338762033002254,51.378098394057524,53.97722798543161,53.90506808748287
Yamunanagar,Bal Chhapar (365),3374,636,high,65.82871509271844,11.307758994364976,32.621862316270644,45.804761904761904,56.0,24.499999999999996,39.34384971801933,38.012038927562706,43.567336255489245,36.23226564497793,39.37707109340918,39.306512327891674
Yamunanagar,Talakaur (362),3303,609,high,65.48996669261001,53.49934980494149,45.74604957244749,41.55238095238095,71.5,23.966666666666665,50.292402281507755,51.314401167515484,54.188825389284666,50.16039899656711,50.28980706949328,51.24916698087365
Yamunanagar,Chhapper Mansurpur (443),2918,557,high,64.87024454192242,43.37061118335501,5.150628521889901,36.31904761904762,56.0,22.366666666666664,38.012866422146935,35.77683985795564,42.380270900791146,30.630290027454393,38.022081146893285,36.96446967104828
Yamunanagar,Bham Bholi (435),3407,628,high,64.2650953180691,40.7295188556567,5.150628521889901,40.51904761904762,60.0,34.33333333333333,40.83293727466611,37.584515675504655,44.459486412339736,32.437076449062054,40.85339966027718,39.23348309436995
Yamunanagar,Saran (449),4517,815,high,66.05685116130866,40.681837884698744,47.654864641210544,41.238095238095234,60.0,25.433333333333334,46.84416370977442,47.6876590304863,50.49376578826118,47.22548722589514,46.84777565178508,47.81977028124042
Yamunanagar,Uncha Chandana (456),3342,648,high,62.33167795166136,44.91352405721717,32.811502541671594,47.17142857142857,60.0,25.433333333333334,45.443577742552,45.15437975865815,48.860721096796276,42.504860047348615,45.4469949674874,45.48210672256849
Yamunanagar,Gundana (179),2514,438,high,72.74300361894879,34.51712180320763,53.41510028766206,40.838095238095235,60.0,26.5,48.00222015798562,48.94436426111365,52.151298504081936,49.17491873189843,48.0115118738492,49.256862705785764
Yamunanagar,Ghalaur (159),3354,661,high,71.92620651363949,19.69180754226268,45.28874571462348,38.35238095238095,59.57729468599034,22.9,42.95607256814949,43.02893025991002,47.686950696998004,42.830983446600264,42.97948930272239,43.89648525487603
Yamunanagar,Bapa (55),2733,537,high,65.25256397674019,28.830082358040748,5.150628521889901,44.91904761904762,60.0,23.43333333333333,37.93094263484196,34.92274867478213,42.49143810236512,29.49027277603794,37.95692182569182,36.5584648027438
Yamunanagar,Jubal (41),2833,508,high,62.40894135710593,21.57737321196359,5.150628521889901,41.35238095238095,56.0,25.433333333333334,35.32044289611228,32.11066345262156,39.55762607554499,27.29619401812843,35.351820471013134,33.92734938268408
Yamunanagar,Bakana (40),2736,495,high,64.92838257381274,24.24967490247074,51.327974149820704,44.51904761904762,60.0,25.433333333333334,45.07640209641419,45.642376380211715,48.78993347748738,45.82822220762743,45.09448789635659,46.08628441161946
Yamunanagar,Nachraon (9),2876,480,high,65.92753831633951,48.11465106198526,65.69176813650155,48.60476190476191,58.69565217391305,38.46666666666667,54.250173043361336,55.876731772441275,56.42935884602146,57.079219171093875,54.24799393455223,55.57669535349403
Yamunanagar,Alahar (1),3760,728,high,63.866659610286185,54.22756827048115,63.25511289750562,45.31904761904762,60.0,35.4,53.67806473288676,55.57714796287271,55.92692422062671,56.56426560766271,53.66949694685122,55.08317989418002
Yamunanagar,Gumthala Rao (21),4455,832,high,67.80420808485536,40.95275249241439,56.95147180517792,46.11904761904762,60.0,32.833333333333336,50.776802222471424,51.80024013869614,53.837876142043164,52.16365932714038,50.7818151224573,51.872078590561685
Yamunanagar,Jathlana (4),7018,1342,high,61.444326154989355,39.047680970957956,46.48717342475471,48.71904761904762,60.0,38.46666666666667,49.02748247273605,48.80250228315248,51.34583350762804,48.10365785023516,49.03960137217475,49.26381549718529
Yamunanagar,Unheri (38),2516,430,high,58.9106644928802,12.922410056350238,5.150628521889901,38.11904761904762,60.0,23.966666666666665,33.178236226139106,29.82326262519836,37.55314571947988,25.517458865988342,33.218763944465906,31.85817347625432
Yamunanagar,Khajuri (159),3003,535,high,67.70134130126678,20.872995231902905,44.31936399101549,40.51904761904762,64.0,24.499999999999996,43.652124690538805,43.53749838218162,48.0320463516116,43.15577329873145,43.67746880433863,44.410982305480424
Yamunanagar,Damla (484),8659,1643,high,58.53194524248748,35.25270914607716,42.53832210269142,60.176190476190484,60.0,45.73333333333333,50.37208338346331,49.064676046023315,51.90140290269906,47.38523923080356,50.39266096976504,49.82321250655086
Yamunanagar,Naharpur (150),4446,789,high,67.06197740151062,17.88209796272215,51.69727649896701,44.51904761904762,60.0,35.93333333333333,46.18228880259679,45.83122580370325,49.4735909958215,46.39243087935453,46.21238415332623,46.81838412696046
Yamunanagar,Mandauli (138),2972,554,high,62.22900602575138,46.45773732119636,5.150628521889901,37.15238095238095,56.0,24.9,38.64829213686976,36.3764126414316,42.561363525757926,31.21946911244155,38.65561527456068,37.492230538212304
Yamunanagar,Raipur (145),3872,724,high,59.30403821745327,27.833116601647163,5.150628521889901,39.11904761904762,56.0,24.366666666666667,35.295582937784104,32.45440999294371,39.27809513241769,27.712415172112856,35.319985017040004,34.01209765045967
Yamunanagar,Karera Khurd (148),3213,614,high,64.0396751004997,26.180537494581706,33.42376955510896,40.31904761904762,56.0,39.03333333333333,43.16606051709522,41.549191628959015,46.101755308769,40.25485408524495,43.1925818773239,42.85288868347841
Yamunanagar,Shadipur (147),3218,584,high,57.45430869698068,30.488079757260515,58.94766914922962,42.71904761904762,60.0,22.366666666666664,45.329295314864176,47.09720335283042,48.423463319742496,48.30257099824567,45.33655289054283,46.89781717524512
Yamunanagar,Gobindpura (407),4830,957,high,30.003250975292588,33.469007368877335,5.150628521889901,39.71904761904762,19.0,54.06666666666666,30.23476685862902,26.696470060065643,28.45828193696204,23.57366060650646,30.2458734377959,27.84181057999181
Yamunanagar,Mahlan Wali (380),4226,882,high,62.73855939390513,35.408755960121375,49.106966938566416,47.71904761904762,59.802761341222876,34.86666666666667,48.27379298658835,48.38421484645889,50.96707436104783,48.048173764187275,48.286699824402945,48.79199115653706
Yamunanagar,Tejli (409),4491,854,high,30.061768530559167,17.871261378413525,38.02606691098239,39.71904761904762,19.0,23.833333333333332,28.08524629538934,28.781224759202654,28.041231852239655,29.263341506064915,28.085136433654355,28.451236169310185
Yamunanagar,Darwa (411),3065,608,high,54.66991038734214,39.13350671868228,5.150628521889901,40.11904761904762,60.0,24.366666666666667,37.23995998560477,34.769368841834066,40.764621692445175,29.760587723115286,37.25519453070139,35.95794655474013
Yamunanagar,Gadhauli (412),7434,1479,high,49.15534845638877,10.310793237971392,5.150628521889901,39.51904761904762,60.0,20.23333333333333,30.7281918614385,27.674308522715545,34.55924085426686,23.538750590414704,30.767877661786986,29.45367389812452
Yamunanagar,Pansra (127),2748,567,high,52.070109526581824,40.358040745557005,66.63888560507546,42.71904761904762,56.0,23.3,46.84768058271032,49.67970312222467,49.00492347709746,51.74030340271959,46.84091730168145,48.8227055772867
Yamunanagar,Amadalpur (395),2975,562,high,58.54494493311138,20.992197659297787,58.418843834968676,48.2047619047619,60.0,25.96666666666667,45.35456916646774,46.412273182949384,48.375273409798766,47.43821504035151,45.37319441133992,46.590705042181455
Yamunanagar,Diyalgarh (394),3051,604,high,53.06946250541829,11.670784568703944,5.150628521889901,41.31904761904762,60.0,24.499999999999996,32.61832053584329,29.23009056288315,36.43843473280079,24.900769139168105,32.65958815651757,31.169440625442583
Yamunanagar,Kharwan (314),8345,1667,high,62.38405597021573,19.196358907672302,44.202539982774056,48.60476190476191,60.0,43.199999999999996,46.264619460903994,44.85822945847462,48.71656311183517,44.495248869720385,46.29903085899048,46.12673835198493
Yamunanagar,Bala Chaur (312),3082,603,high,64.37954702322426,11.589510186389251,5.150628521889901,41.60476190476191,60.0,22.366666666666664,34.181852383822,30.739872173614913,39.08328851442889,26.010708357048607,34.22352493374774,32.84784927253243
Yamunanagar,Mahamadpur (140),2929,545,high,59.113602933339024,11.849588209796272,58.87939866808527,48.60476190476191,42.868686868686865,22.9,40.702673097444894,41.96782506499874,43.542200424468646,43.31296282722435,40.71883831945537,42.04889994671841
Yamunanagar,Laharpur (328),2513,468,high,67.7236570195865,51.33094928478544,37.406214288528986,42.31904761904762,55.80314960629921,23.43333333333333,46.33605852526352,46.83795489916267,50.09330918834411,44.755098057306064,46.329300800784495,46.87034429417217
Yamunanagar,Saranwa (133),4498,914,high,64.36179613123642,40.746857390550495,29.360050439374234,47.31904761904762,56.03072983354674,34.86666666666667,45.447524680070366,44.132786792194935,48.39715498353097,41.35393563096808,45.4591726094996,44.95811493925279
Yamunanagar,Machhrauli (263),3251,659,high,70.70656246378864,30.572605114867798,58.600898451353586,49.00476190476191,53.888242142025604,22.9,47.612178346132914,49.094680612398385,51.471028864999774,49.45458618379276,47.61819217419386,49.050133236303544
Yamunanagar,Nagli (32),2541,414,high,58.85507946772963,12.841135674035545,5.150628521889901,52.00476190476191,55.137931034482754,28.5,35.41492276714995,31.60555012632573,39.090834988932066,26.398140267738214,35.45545445611518,33.59298052125222
Yamunanagar,Manakpur (229),2549,428,high,51.01139446772303,12.732769830949284,5.150628521889901,45.31904761904762,54.970414201183424,25.433333333333334,32.43626466235443,29.072672873188775,35.7706316862838,24.53690904344929,32.474026783753224,30.858101009805903
Yamunanagar,Azizpur (292),2552,458,high,62.69684542776228,12.716514954486346,5.150628521889901,41.51904761904762,48.58858858858859,38.46666666666667,34.85638196307357,30.598299033346184,38.14652440563853,26.338494886350666,34.89931942637498,32.967803942956785
