District.Name,Village.Name,Total.Population.of.Village,Total.Households,population_stratum,agriculture_index,education_index,health_index,infrastructure_index,irrigation_index,social_index,composite_index_equal,composite_index_sdg,composite_index_expert
Faridabad,Shahjahanpur(189),2393,420,medium,75.2055684209289,16.582350703689613,14.730886268543172,36.91904761904762,60.0,24.499999999999996,37.98964216870155,35.267884113870196,43.48623479392429
Faridabad,Faizupur Khadar(192),1194,218,medium,68.36038298053077,50.084062381133506,14.730886268543172,46.404761904761905,60.0,25.96666666666667,44.25779336693933,42.51097244282306,48.36971899496514
Faridabad,Sahupura(195),1090,194,medium,73.96955530216648,40.7358311144922,42.71681247622669,42.03809523809523,60.0,32.833333333333336,48.715604577385655,48.5108502563277,52.59933298319707
Faridabad,Maojpur(88),1763,331,medium,59.384181739899795,26.221567135793077,14.730886268543172,43.11904761904762,60.0,24.499999999999996,37.992613793880615,35.75251939813652,41.90677058848253
Faridabad,Shahpur Kalan(71),2393,423,medium,62.93095213931358,20.75370863446177,52.16051730696083,37.31904761904762,65.5062893081761,24.9,43.92841916799332,44.54431441361316,47.858986930534144
Faridabad,Pahladpur Majra Digh (57),2450,415,medium,62.19152323303411,16.582350703689613,14.730886268543172,36.31904761904762,64.99295774647888,26.5,36.88612759513224,34.1747209976578,41.341315046246365
Faridabad,Ladhauli(70),2225,387,medium,57.20179478446297,20.53499429440852,14.730886268543172,41.2047619047619,61.15,21.833333333333332,36.10929509758498,33.90653726273456,40.18437839960611
Faridabad,Aterna(60),1791,282,medium,64.818120642279,22.246671738303537,45.35564853556485,43.03809523809524,64.0,24.499999999999996,43.99308935904043,44.01667886360806,48.0505924873643
Palwal ,Jalhaka(59),2300,374,medium,66.83806917521855,32.74648155192088,58.67249904906808,42.60476190476191,64.0,37.0,50.31030194682824,50.93384573464827,53.31307866966728
Palwal ,Kulina(178),1861,311,medium,65.66566268373255,16.582350703689613,46.86287561810573,43.43809523809524,56.0,23.43333333333333,41.997052929492746,42.14108606687186,45.99224723825006
Palwal ,Hansapur(181),1427,209,medium,76.04289315418777,30.930201597565613,14.730886268543172,46.43809523809524,56.0,24.499999999999996,41.4403460430653,39.09091014549137,46.47560075417755
Palwal ,Shaikhpur(195),1580,252,medium,65.91903974239139,30.62438189425637,14.730886268543172,56.29047619047619,60.0,37.0,44.094130682611194,40.839025335917206,47.426621588589214
Palwal ,Bholra(188),1729,285,medium,64.15479636289214,22.603271205781663,14.730886268543172,38.55238095238095,60.0,24.499999999999996,37.42355579826632,35.05945240558309,41.87167985472891
Palwal ,Rajupur Khadar (187),1596,270,medium,71.50547790617028,55.80486877139596,56.46982376061874,42.838095238095235,62.0,26.5,52.5197109460467,54.3799656660737,56.193287642059055
Palwal ,Balai(180),1797,305,medium,64.96947879021984,25.608216051730693,49.61011791555724,51.60476190476191,60.0,26.5,46.382095777044945,46.660308793482706,49.91583407836243
Palwal ,Amarpur(177),1388,252,medium,64.34557015099375,16.582350703689613,45.4412324077596,55.52380952380952,75.5,39.0,49.39882713104208,47.882185193898316,52.71850143303725
Palwal ,Rampur Khor(176),1302,230,medium,74.31376015483049,16.582350703689613,14.730886268543172,42.31904761904762,60.0,37.0,40.82434079101848,37.19411287395543,45.323282727399686
Palwal ,Dadota(175),1839,314,medium,60.69457623334477,35.83701027006466,14.730886268543172,39.11904761904762,60.0,24.499999999999996,39.146920065166704,37.27216719900758,43.076685681984515
Palwal ,Gopi Khera(58),1018,170,medium,65.66783590695039,35.86553822746291,14.730886268543172,46.404761904761905,62.3921568627451,22.366666666666664,41.237974306188356,39.26220908046365,45.68223497606848
Palwal ,Sadarpur(56),1062,193,medium,66.7519296552934,48.20064663370102,14.730886268543172,40.11904761904762,62.40760869565217,21.833333333333332,42.34057536759512,40.8979721227083,46.81042456448089
Palwal ,Kakripur(54),1060,184,medium,63.25435195743063,47.772727272727266,50.047546595663746,49.804761904761904,60.0,22.366666666666664,48.874342399541696,50.261965849456935,52.19401002199726
Palwal ,Tatarpur(47),1018,185,medium,60.52828828224562,24.13427158615443,49.53879802206161,41.51904761904762,62.714285714285715,23.43333333333333,43.6446707595214,44.269130398416465,47.29708013084143
Palwal ,Jataula(48),1423,243,medium,62.02457874065628,24.234119437048307,49.59585393685812,40.51904761904762,64.03539823008849,23.43333333333333,43.973721882838696,44.57597439342638,47.808910813458205
Palwal ,Dundsa(50),1543,255,medium,61.33616821736285,44.60612400152148,47.12723468999619,40.91904761904762,66.65277777777777,24.499999999999996,47.52355871761765,48.48923251493159,51.012458556481064
Palwal ,Softa(1),1526,246,medium,51.61424056599538,22.84575884366679,45.930962343096226,37.35238095238095,63.354166666666664,23.43333333333333,40.75514045085656,41.2433439155972,43.8370921290371
Palwal ,Gadhpuri(2),1639,313,medium,60.634247365745765,42.626664130848226,14.730886268543172,48.285714285714285,64.41206030150754,23.43333333333333,42.35381761428206,40.551191019583904,46.23079693783714
